ID;name;budget;currency_code;description;startsAt;endsAt;traveller_ID
40000000-0000-4000-8000-000000000001;Paris Romance Tour;8500.00;EUR;A seven-day escape through the City of Light for couples seeking romance and culture. Includes a private Seine river cruise, guided tours of the Louvre and Eiffel Tower, wine tasting in Montmartre, and a candlelit dinner at a rooftop restaurant overlooking the city skyline. Boutique hotel accommodation near the Champs-Elysees is included, along with airport transfers and a dedicated local guide throughout the stay.;2026-10-05T09:00:00Z;2026-10-12T18:00:00Z;10000000-0000-4000-8000-000000000001
40000000-0000-4000-8000-000000000002;Tokyo Cherry Blossom Trip;12000.00;JPY;Experience Japan during the breathtaking cherry blossom season with visits to Ueno Park, Shinjuku Gyoen, and the historic streets of Asakusa. The itinerary includes a bullet train excursion to Kyoto, traditional tea ceremonies, a stay in a hot spring ryokan, and guided food tours through Tokyo's best izakayas and sushi counters, blending modern city life with timeless tradition.;2027-03-20T08:00:00Z;2027-03-28T20:00:00Z;10000000-0000-4000-8000-000000000001
40000000-0000-4000-8000-000000000003;New York City Explorer;6500.00;USD;A fast-paced five-day tour of Manhattan covering Times Square, Central Park, the Statue of Liberty, and a Broadway show of your choice. Guests stay in a midtown hotel within walking distance of major attractions, with a guided food tour through Chelsea Market and a helicopter ride over the skyline for unforgettable photo opportunities.;2026-11-10T10:00:00Z;2026-11-15T16:00:00Z;10000000-0000-4000-8000-000000000002
40000000-0000-4000-8000-000000000004;Dubai Desert Adventure;9800.00;INR;A thrilling seven-day desert and city combination package featuring dune bashing, camel trekking, and an overnight stay under the stars in a luxury desert camp. City days include the Burj Khalifa observation deck, Dubai Mall, and a dhow cruise dinner along Dubai Creek, balancing adventure with five-star hospitality throughout the trip.;2027-01-15T09:00:00Z;2027-01-22T17:00:00Z;10000000-0000-4000-8000-000000000002
40000000-0000-4000-8000-000000000005;Singapore Business and Leisure;7200.00;EUR;A flexible seven-day itinerary combining business meetings in the Marina Bay financial district with leisure time exploring Gardens by the Bay, Sentosa Island, and the city's renowned hawker food centres. Airport lounge access and a serviced apartment near the central business district ensure comfort for the working traveller.;2026-12-01T08:00:00Z;2026-12-08T18:00:00Z;10000000-0000-4000-8000-000000000003
40000000-0000-4000-8000-000000000006;London Heritage Walk;4500.00;GBP;A compact four-day cultural tour of London highlighting the Tower of London, Westminster Abbey, the British Museum, and a West End theatre performance. Includes guided walking tours through historic neighbourhoods, afternoon tea at a classic London hotel, and comfortable accommodation near Covent Garden.;2027-04-10T09:00:00Z;2027-04-14T17:00:00Z;10000000-0000-4000-8000-000000000003
40000000-0000-4000-8000-000000000007;Sydney Harbour Escape;15000.00;AUD;A thirteen-day exploration of Australia's east coast beginning in Sydney with a harbour bridge climb and Opera House tour, followed by trips to the Blue Mountains, the Great Barrier Reef, and coastal drives along the Pacific Highway. The package includes domestic flights, snorkelling excursions, and stays in beachfront resorts.;2027-02-05T08:00:00Z;2027-02-18T18:00:00Z;10000000-0000-4000-8000-000000000004
40000000-0000-4000-8000-000000000008;Bangkok Street Food Safari;2200.00;USD;A five-day culinary adventure through Bangkok's vibrant street food scene, including guided night market tours, a Thai cooking class, temple visits to Wat Arun and the Grand Palace, and a relaxing longtail boat ride along the Chao Phraya River. Budget-friendly accommodation in the Sukhumvit area is included.;2026-10-20T09:00:00Z;2026-10-25T17:00:00Z;10000000-0000-4000-8000-000000000004
40000000-0000-4000-8000-000000000009;Rome Ancient Wonders;5800.00;EUR;An eight-day journey through Roman history covering the Colosseum, Roman Forum, Vatican Museums, and the Sistine Chapel, complemented by day trips to Pompeii and the Amalfi Coast. Includes skip-the-line guided tours, authentic trattoria dinners, and centrally located accommodation near the historic centre.;2027-05-01T09:00:00Z;2027-05-09T18:00:00Z;10000000-0000-4000-8000-000000000005
40000000-0000-4000-8000-000000000010;Bali Beach Getaway;3200.00;AUD;A relaxing seven-day retreat combining Bali's beaches and rice terraces, featuring yoga sessions in Ubud, a sunset dinner in Seminyak, snorkelling near Nusa Penida, and traditional Balinese spa treatments. Accommodation is in a private pool villa surrounded by tropical gardens, offering both adventure and tranquillity.;2026-11-25T09:00:00Z;2026-12-02T17:00:00Z;10000000-0000-4000-8000-000000000005
40000000-0000-4000-8000-000000000011;Paris Art and Culture Tour;6100.00;EUR;A seven-day immersion into Parisian art and culture including private tours of the Musee d'Orsay and Centre Pompidou, a day trip to the Palace of Versailles, and evening jazz performances in Saint-Germain-des-Pres. Stay in a charming boutique hotel in the Latin Quarter with daily breakfast included.;2027-06-10T09:00:00Z;2027-06-17T17:00:00Z;10000000-0000-4000-8000-000000000006
40000000-0000-4000-8000-000000000012;Tokyo Neon Nights;9400.00;JPY;A nine-day exploration of Tokyo's futuristic side, covering Akihabara, Shibuya Crossing, teamLab digital art museums, and a day trip to Mount Fuji. Evenings include izakaya hopping in Shinjuku and a robot show experience, paired with comfortable stays in a centrally located business hotel.;2027-07-01T09:00:00Z;2027-07-10T18:00:00Z;10000000-0000-4000-8000-000000000007
40000000-0000-4000-8000-000000000013;New York Broadway Special;4300.00;USD;A seven-day holiday season trip to New York featuring two Broadway shows, ice skating at Rockefeller Center, shopping along Fifth Avenue, and a viewing of the famous holiday windows. Includes a comfortable midtown hotel stay and a guided tour of the 9/11 Memorial and Museum.;2026-12-20T10:00:00Z;2026-12-27T16:00:00Z;10000000-0000-4000-8000-000000000008
40000000-0000-4000-8000-000000000014;Dubai Luxury Skyline Escape;16800.00;GBP;A sixteen-day luxury itinerary featuring stays at premium hotels overlooking the Palm Jumeirah, private yacht excursions, fine dining experiences, and a helicopter tour of the coastline. Includes VIP access to the Burj Khalifa, a desert glamping night, and personal concierge service throughout the stay.;2027-08-05T08:00:00Z;2027-08-21T18:00:00Z;10000000-0000-4000-8000-000000000009
40000000-0000-4000-8000-000000000015;Rome Romantic Anniversary;5600.00;INR;A five-day anniversary celebration in Rome including a private candlelit dinner near the Trevi Fountain, a guided tour of the Colosseum and Roman Forum, a Vespa sidecar city tour, and a couples' spa evening. Accommodation is in a boutique hotel within walking distance of the historic centre.;2027-09-01T09:00:00Z;2027-09-06T17:00:00Z;10000000-0000-4000-8000-000000000010
